/Graph
Time (s),posX (Meters),posY (Meters),posZ (Meters)
8.95000,-8.4563e-01,-5.1655e-01,+1.9212e-02
9.00000,-8.4588e-01,-5.1619e-01,+1.9219e-02
9.05000,-8.4612e-01,-5.1583e-01,+1.9213e-02
9.10000,-8.4639e-01,-5.1540e-01,+1.9219e-02
9.15000,-8.4725e-01,-5.1399e-01,+1.9226e-02
9.20000,-8.4764e-01,-5.1339e-01,+1.9220e-02
9.25000,-8.4781e-01,-5.1306e-01,+1.9222e-02
9.30000,-8.4810e-01,-5.1266e-01,+1.9221e-02
9.35000,-8.4838e-01,-5.1224e-01,+1.9214e-02
9.40000,-8.4860e-01,-5.1182e-01,+1.9217e-02
9.45000,-8.4883e-01,-5.1141e-01,+1.9216e-02
9.50000,-8.4905e-01,-5.1102e-01,+1.9215e-02
9.55000,-8.4925e-01,-5.1062e-01,+1.9215e-02
9.60000,-8.4946e-01,-5.1023e-01,+1.9215e-02
9.65000,-8.4967e-01,-5.0986e-01,+1.9215e-02
9.70000,-8.4987e-01,-5.0949e-01,+1.9223e-02
9.75000,-8.5010e-01,-5.0905e-01,+1.9221e-02
9.80000,-8.5034e-01,-5.0862e-01,+1.9215e-02
9.85000,-8.5056e-01,-5.0825e-01,+1.9212e-02
9.90000,-8.5076e-01,-5.0789e-01,+1.9214e-02
9.95000,-8.5098e-01,-5.0746e-01,+1.9229e-02
10.00000,-8.5122e-01,-5.0703e-01,+1.9221e-02
10.05000,-8.5142e-01,-5.0667e-01,+1.9220e-02
10.10000,-8.5159e-01,-5.0631e-01,+1.9213e-02
10.15000,-8.5182e-01,-5.0588e-01,+1.9213e-02
10.20000,-8.5207e-01,-5.0546e-01,+1.9221e-02
10.25000,-8.5233e-01,-5.0507e-01,+1.9216e-02
10.30000,-8.5255e-01,-5.0471e-01,+1.9223e-02
10.35000,-8.5280e-01,-5.0435e-01,+1.9216e-02
10.40000,-8.5306e-01,-5.0395e-01,+1.9227e-02
10.45000,-8.5333e-01,-5.0359e-01,+1.9230e-02
10.50000,-8.5362e-01,-5.0325e-01,+1.9225e-02
10.55000,-8.5389e-01,-5.0290e-01,+1.9221e-02
10.60000,-8.5414e-01,-5.0254e-01,+1.9217e-02
10.65000,-8.5440e-01,-5.0220e-01,+1.9220e-02
10.70000,-8.5469e-01,-5.0179e-01,+1.9215e-02
10.75000,-8.5498e-01,-5.0136e-01,+1.9218e-02
10.80000,-8.5525e-01,-5.0095e-01,+1.9214e-02
10.85000,-8.5548e-01,-5.0060e-01,+1.9216e-02
10.90000,-8.5572e-01,-5.0016e-01,+1.9215e-02
10.95000,-8.5596e-01,-4.9971e-01,+1.9219e-02
11.00000,-8.5619e-01,-4.9926e-01,+1.9217e-02
11.05000,-8.5642e-01,-4.9882e-01,+1.9210e-02
11.10000,-8.5663e-01,-4.9845e-01,+1.9212e-02
11.15000,-8.5684e-01,-4.9802e-01,+1.9208e-02
11.20000,-8.5711e-01,-4.9759e-01,+1.9219e-02
11.25000,-8.5736e-01,-4.9716e-01,+1.9220e-02
11.30000,-8.5759e-01,-4.9673e-01,+1.9220e-02
11.35000,-8.5783e-01,-4.9631e-01,+1.9218e-02
11.40000,-8.5806e-01,-4.9590e-01,+1.9221e-02
11.45000,-8.5829e-01,-4.9548e-01,+1.9222e-02
11.50000,-8.5850e-01,-4.9507e-01,+1.9221e-02
11.55000,-8.5872e-01,-4.9468e-01,+1.9224e-02
11.60000,-8.5897e-01,-4.9424e-01,+1.9228e-02
11.65000,-8.5924e-01,-4.9382e-01,+1.9217e-02
11.70000,-8.5950e-01,-4.9340e-01,+1.9214e-02
11.75000,-8.5970e-01,-4.9297e-01,+1.9227e-02
11.80000,-8.5992e-01,-4.9259e-01,+1.9231e-02
11.85000,-8.6022e-01,-4.9217e-01,+1.9217e-02
11.90000,-8.6053e-01,-4.9172e-01,+1.9217e-02
11.95000,-8.6076e-01,-4.9135e-01,+1.9218e-02
12.00000,-8.6103e-01,-4.9097e-01,+1.9218e-02
12.05000,-8.6132e-01,-4.9053e-01,+1.9219e-02
12.10000,-8.6162e-01,-4.9016e-01,+1.9225e-02
12.15000,-8.6189e-01,-4.8982e-01,+1.9218e-02
12.20000,-8.6219e-01,-4.8939e-01,+1.9220e-02
12.25000,-8.6250e-01,-4.8898e-01,+1.9215e-02
12.30000,-8.6277e-01,-4.8862e-01,+1.9214e-02
12.35000,-8.6301e-01,-4.8827e-01,+1.9211e-02
12.40000,-8.6332e-01,-4.8785e-01,+1.9219e-02
12.45000,-8.6359e-01,-4.8741e-01,+1.9217e-02
12.50000,-8.6382e-01,-4.8705e-01,+1.9215e-02
12.55000,-8.6411e-01,-4.8671e-01,+1.9213e-02
12.60000,-8.6438e-01,-4.8632e-01,+1.9216e-02
12.65000,-8.6530e-01,-4.8492e-01,+1.9208e-02
12.70000,-8.6564e-01,-4.8440e-01,+1.9210e-02
